no,domain,site_name,category,relevance,status,contact_url,memo
19,septeni.co.jp,セプテーニ,デジタル広告,高,未申請,https://septeni.co.jp/contact,デジタル広告代理店
20,adways.net,ADWAYS,デジタル広告,高,未申請,https://adways.net/contact,スマホ広告・アフィリエイト
21,microad.co.jp,MicroAd,アドテクノロジー,高,未申請,https://microad.co.jp/contact,DSP・広告テクノロジー
22,logly.co.jp,Logly,ネイティブ広告,中,未申請,https://logly.co.jp/contact,ネイティブ広告配信
23,a8.net,A8.net,アフィリエイト,高,未申請,https://www.a8.net/a8-support/contact/,国内最大のASP
24,valuecommerce.ne.jp,バリューコマース,アフィリエイト,高,未申請,https://valuecommerce.ne.jp/contact,老舗ASPプラットフォーム
25,accesstrade.ne.jp,アクセストレード,アフィリエイト,高,未申請,https://accesstrade.ne.jp/contact,成果報酬型広告ASP
26,afb.ne.jp,afb,アフィリエイト,高,未申請,https://afb.ne.jp/contact,アフィリエイトバンク
27,moshimo.com,もしもアフィリエイト,アフィリエイト,高,未申請,https://moshimo.com/contact,比較サイト連携型ASP
28,i-mobile.co.jp,i-mobile,スマホ広告,中,未申請,https://i-mobile.co.jp/contact,スマートフォン広告
29,gaiax.co.jp,ガイアックス,SNSマーケティング,中,未申請,https://gaiax.co.jp/contact,ソーシャルメディア運用支援
30,cyberagent.co.jp,サイバーエージェント,デジタル総合,高,未申請,https://www.cyberagent.co.jp/contact/,デジタル広告・メディア大手
31,dentsudigital.co.jp,電通デジタル,デジタル広告,高,未申請,https://dentsudigital.co.jp/contact/,電通グループのデジタル専門会社
32,itmedia.co.jp,ITmedia,ITメディア,中,未申請,https://corp.itmedia.co.jp/contact/,IT総合ニュースメディア
33,ascii.jp,ASCII.jp,テックメディア,中,未申請,https://ascii.jp/contact/,テクノロジー総合メディア
34,impress.co.jp,インプレス,IT総合メディア,中,未申請,https://www.impress.co.jp/contact/,IT・デジタル書籍・メディア
35,wired.jp,WIRED Japan,テックメディア,中,未申請,https://wired.jp/contact/,テクノロジー・カルチャーメディア
36,techcrunch.com,TechCrunch Japan,スタートアップメディア,中,未申請,https://techcrunch.com/contact-us/,スタートアップ・テックニュース
37,qiita.com,Qiita,技術情報メディア,中,未申請,https://qiita.com/contact,エンジニア向け技術共有プラットフォーム
38,zenn.dev,Zenn,技術情報メディア,中,未申請,https://zenn.dev/contact,技術記事・本の投稿プラットフォーム
39,note.com,note,コンテンツプラットフォーム,中,未申請,https://note.com/help/contact,記事・コンテンツ配信プラットフォーム
40,ecnomikata.com,ECのミカタ,ECメディア,中,未申請,https://ecnomikata.com/contact/,EC運営者向け情報メディア
41,netshop.impress.co.jp,ネットショップ担当者フォーラム,ECメディア,中,未申請,https://netshop.impress.co.jp/contact,EC担当者向け専門メディア
42,makeshop.jp,MakeShop,ECプラットフォーム,中,未申請,https://www.makeshop.jp/contact/,ECサイト構築プラットフォーム
43,shopify.co.jp,Shopify Japan,ECプラットフォーム,中,未申請,https://www.shopify.com/jp/contact,グローバルECプラットフォーム
44,base.ec,BASE,ECプラットフォーム,中,未申請,https://thebase.com/contact,ネットショップ開設サービス
45,lancers.jp,Lancers,クラウドソーシング,中,未申請,https://www.lancers.jp/contact,国内最大クラウドソーシング
46,crowdworks.jp,CrowdWorks,クラウドソーシング,中,未申請,https://crowdworks.jp/public/contact,クラウドソーシングプラットフォーム
47,nikkei.com,日本経済新聞,ビジネスメディア,中,未申請,https://www.nikkei.com/company/inquiry/,日本最大経済メディア
48,diamond.jp,ダイヤモンド・オンライン,ビジネスメディア,中,未申請,https://diamond.jp/contact,ビジネス総合オンラインメディア
49,president.jp,プレジデントオンライン,ビジネスメディア,中,未申請,https://president.jp/contact/,ビジネスパーソン向けメディア
50,toyo-keizai.co.jp,東洋経済オンライン,ビジネスメディア,中,未申請,https://toyokeizai.net/contact/,ビジネス・経済情報メディア
